match_title,poster_available,poster_feature_status,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
숙명,1,ok,670,998,0.6713426853707415,0.26371386647224426,0.4392004609107971,0.3180692195892334,0.2484091818332672,0.19995613396167755,0.2510785460472107,0.05089873709618973
슈퍼맨이었던 사나이,1,ok,765,1140,0.6710526315789473,0.6350443363189697,0.19491812586784363,0.6136584281921387,0.6499704718589783,0.6142787337303162,0.2997454106807709,0.03606794486582353
미쓰 홍당무,1,ok,800,1200,0.6666666666666666,0.5018476247787476,0.3053388297557831,0.5929834842681885,0.47263628244400024,0.41322851181030273,0.2248767763376236,0.07348331595411887
쌍화점,1,ok,631,900,0.7011111111111111,0.2342429906129837,0.4107096195220947,0.2761857211589813,0.22043997049331665,0.19530867040157318,0.2683063745498657,0.12359678347905126
멋진 하루,1,ok,734,1093,0.6715462031107045,0.3972536325454712,0.4076908528804779,0.48533663153648376,0.3625366985797882,0.3449910283088684,0.2950194776058197,0.01819058749096055
1724 기방난동사건,1,ok,890,1335,0.6666666666666666,0.4637126922607422,0.4767490327358246,0.5364060401916504,0.4265986382961273,0.46415719389915466,0.33848854899406433,0.05593209987047587
가루지기,1,ok,861,1283,0.6710833982852689,0.5246429443359375,0.3899461328983307,0.5558835864067078,0.5195297598838806,0.4690326452255249,0.2674204707145691,0.09713381134858838
헨젤과 그레텔,1,ok,746,1119,0.6666666666666666,0.30262666940689087,0.2852013409137726,0.3226902186870575,0.302776038646698,0.2492346316576004,0.21675974130630493,0.06085628983445895
해운대,1,ok,1000,1429,0.6997900629811057,0.4099479615688324,0.3369954526424408,0.3969131410121918,0.41604602336883545,0.41273605823516846,0.3149282932281494,0.08285418222835293
국가대표,1,ok,1141,1626,0.7017220172201722,0.6906857490539551,0.298014760017395,0.6447389721870422,0.7034022212028503,0.7457166314125061,0.2878151834011078,0.049602658205145145
7급 공무원,1,ok,629,900,0.6988888888888889,0.4382491409778595,0.4133313000202179,0.5523961186408997,0.3952679932117462,0.36017870903015137,0.31891822814941406,0.07901944951272298
쌍화점,1,ok,631,900,0.7011111111111111,0.2342429906129837,0.4107096195220947,0.2761857211589813,0.22043997049331665,0.19530867040157318,0.2683063745498657,0.12359678347905126
마더,1,ok,2000,3000,0.6666666666666666,0.18947653472423553,0.2939560115337372,0.2132905274629593,0.18265150487422943,0.16216015815734863,0.2713068127632141,0.006312213422259275
전우치,1,ok,900,1290,0.6976744186046512,0.3138766288757324,0.3239281475543976,0.3235757648944855,0.31263959407806396,0.2948070168495178,0.27226564288139343,0.05833494984503041
박쥐,1,ok,2000,3000,0.6666666666666666,0.057444553822278976,0.04131466522812843,0.06714248657226562,0.05338882654905319,0.052892107516527176,0.18027257919311523,0.0020977073780741977
내 사랑 내 곁에,1,ok,800,1200,0.6666666666666666,0.6403689980506897,0.11171383410692215,0.6494755148887634,0.6375511884689331,0.6309933662414551,0.2742123305797577,0.06721324296141815
그림자 살인,1,ok,631,900,0.7011111111111111,0.25121280550956726,0.2645217478275299,0.2678340673446655,0.24722445011138916,0.2281549870967865,0.31328439712524414,0.06617742352122821
차우,1,ok,628,900,0.6977777777777778,0.2854456901550293,0.24085113406181335,0.30969738960266113,0.27619054913520813,0.26949402689933777,0.23726099729537964,0.07794949294517005
불꽃처럼 나비처럼,1,ok,1861,2791,0.666786098172698,0.21037013828754425,0.2485310137271881,0.237274169921875,0.19980430603027344,0.1942107230424881,0.27496322989463806,0.054609595076780836
작전,1,ok,612,918,0.6666666666666666,0.3543446362018585,0.40509673953056335,0.37541261315345764,0.34856465458869934,0.3288491666316986,0.3633228838443756,0.07396029950931376
마린보이,1,ok,2000,3000,0.6666666666666666,0.3590937852859497,0.31728294491767883,0.3807379901409149,0.3505876362323761,0.3461243212223053,0.287504106760025,0.021638349312213423
슬픔보다 더 슬픈 이야기,1,ok,978,1467,0.6666666666666666,0.5431954264640808,0.27021756768226624,0.6188949346542358,0.518783688545227,0.47034916281700134,0.3146907389163971,0.044890717043941646
오감도,1,ok,500,750,0.6666666666666666,0.2584720551967621,0.6187714338302612,0.3644752502441406,0.2152862697839737,0.2028149962425232,0.3152027428150177,0.04771686143572621
10억,1,ok,2000,3000,0.6666666666666666,0.4469078481197357,0.2557776868343353,0.4353538751602173,0.4494000971317291,0.4643785357475281,0.3226044476032257,0.025228595248020007
정승필 실종사건,1,ok,800,1140,0.7017543859649122,0.3560066819190979,0.2880460321903229,0.4075338840484619,0.3455519378185272,0.27469348907470703,0.29782620072364807,0.07049767845186218
호우시절,1,ok,1438,2158,0.6663577386468953,0.5820305347442627,0.34211596846580505,0.5687713623046875,0.6073795557022095,0.4862816035747528,0.2604268491268158,0.014567747660254735
불신지옥,1,ok,600,900,0.6666666666666666,0.2580091655254364,0.20775650441646576,0.2710684537887573,0.2567545771598816,0.23021703958511353,0.26828473806381226,0.049749652294853966
펜트하우스 코끼리,1,ok,1276,1829,0.697648988518316,0.20826052129268646,0.3629159927368164,0.22334043681621552,0.20311343669891357,0.19521181285381317,0.2740373909473419,0.048559085501713686
파주,1,ok,2000,3000,0.6666666666666666,0.357503741979599,0.3973923325538635,0.35357609391212463,0.3557330071926117,0.3769228756427765,0.28987085819244385,0.02465969153814089
똥파리,1,ok,1000,1500,0.6666666666666666,0.511573851108551,0.20547109842300415,0.5606220960617065,0.4919305145740509,0.4840753376483917,0.4044548571109772,0.09365304420350291
바람,1,ok,1280,1920,0.6666666666666666,0.6234866976737976,0.28103703260421753,0.6095096468925476,0.6486873626708984,0.5303841829299927,0.34190893173217773,0.010140268729641693
아저씨,1,ok,2000,3000,0.6666666666666666,0.18999095261096954,0.3897385895252228,0.1772158294916153,0.19569557905197144,0.19412389397621155,0.23115795850753784,0.006317715714881201
의형제,1,ok,1358,1946,0.697841726618705,0.3496687710285187,0.28870752453804016,0.37789386510849,0.3421473503112793,0.31436866521835327,0.24611879885196686,0.02473044464706007
전우치,1,ok,900,1290,0.6976744186046512,0.3138766288757324,0.3239281475543976,0.3235757648944855,0.31263959407806396,0.2948070168495178,0.27226564288139343,0.05833494984503041
이끼,1,ok,1000,1500,0.6666666666666666,0.25078490376472473,0.2588271200656891,0.2555241584777832,0.25135213136672974,0.23543429374694824,0.2959426939487457,0.0828580483736447
하모니,1,ok,1183,1690,0.7,0.4945346415042877,0.41533878445625305,0.5542706847190857,0.48856908082962036,0.3685762882232666,0.2862592935562134,0.0402951497209352
방자전,1,ok,627,900,0.6966666666666667,0.33674412965774536,0.37963277101516724,0.4114502966403961,0.3069101572036743,0.29442301392555237,0.2701281011104584,0.06721392491879408
부당거래,1,ok,1200,1800,0.6666666666666666,0.28216731548309326,0.37375688552856445,0.3281322419643402,0.27091261744499207,0.21956166625022888,0.28953155875205994,0.024501968959925874
시라노; 연애조작단,1,ok,1000,1500,0.6666666666666666,0.5771216154098511,0.3180600702762604,0.6589122414588928,0.545159637928009,0.5271767377853394,0.2992340624332428,0.030418015012510426
하녀,1,ok,907,1361,0.6664217487141807,0.5715110898017883,0.16094541549682617,0.6090697646141052,0.5583798289299011,0.5406164526939392,0.291428804397583,0.00531706577431316
하녀,1,ok,907,1361,0.6664217487141807,0.5715110898017883,0.16094541549682617,0.6090697646141052,0.5583798289299011,0.5406164526939392,0.291428804397583,0.00531706577431316
초능력자,1,ok,1319,1890,0.6978835978835979,0.28276321291923523,0.28525426983833313,0.30410370230674744,0.27361568808555603,0.2738931179046631,0.2630367875099182,0.03033509940872366
쩨쩨한 로맨스,1,ok,1200,1800,0.6666666666666666,0.5682575106620789,0.3043930232524872,0.6558046340942383,0.5269078612327576,0.5515527129173279,0.33102932572364807,0.03736159369932824
해결사,1,ok,2000,3000,0.6666666666666666,0.33476191759109497,0.1578364372253418,0.33708032965660095,0.3360997438430786,0.32179272174835205,0.25902286171913147,0.030685619007919968
악마를 보았다,1,ok,1000,1500,0.6666666666666666,0.22474104166030884,0.20352937281131744,0.25631728768348694,0.21282583475112915,0.20327560603618622,0.23275810480117798,0.01086305254378649
무적자,1,ok,1978,2834,0.6979534227240649,0.20051084458827972,0.15168271958827972,0.20478540658950806,0.19980387389659882,0.19293975830078125,0.3026704788208008,0.04079867276931978
구르믈 버서난 달처럼,1,ok,2000,3000,0.6666666666666666,0.3278723657131195,0.2540120780467987,0.3486813008785248,0.32173287868499756,0.30490750074386597,0.3269639015197754,0.031201750729470613
황해,1,ok,1377,2053,0.6707257671699951,0.2684241235256195,0.2491537630558014,0.29329097270965576,0.26320886611938477,0.2300572544336319,0.260334312915802,0.027044710126409337
헬로우 고스트,1,ok,900,1290,0.6976744186046512,0.3270944058895111,0.4393227696418762,0.3898795247077942,0.30610114336013794,0.27051791548728943,0.2600422203540802,0.0844379496596704
용서는 없다,1,ok,1200,1800,0.6666666666666666,0.47457489371299744,0.1495949923992157,0.5027379393577576,0.46138015389442444,0.4686502516269684,0.39287325739860535,0.024380125086865878
김종욱 찾기,1,ok,2000,2850,0.7017543859649122,0.5583102703094482,0.21627528965473175,0.603949248790741,0.5407496094703674,0.5290299654006958,0.35019439458847046,0.02541537408458862
파괴된 사나이,1,ok,1000,1500,0.6666666666666666,0.13334710896015167,0.08030220866203308,0.13680864870548248,0.13231301307678223,0.12959295511245728,0.25901761651039124,0.01141718098415346
고死 두 번째 이야기: 교생실습,1,ok,988,1416,0.6977401129943502,0.3123370110988617,0.20218975841999054,0.32965075969696045,0.3050030767917633,0.30468976497650146,0.3579789996147156,0.057681108823398955
내 깡패 같은 애인,1,ok,900,1283,0.7014809041309431,0.41009628772735596,0.37802213430404663,0.5076510310173035,0.3709696829319,0.35569679737091064,0.27646008133888245,0.048207862546089074
퀴즈왕,1,ok,860,1290,0.6666666666666666,0.5064235329627991,0.36907118558883667,0.6309909224510193,0.457681804895401,0.43068450689315796,0.34393200278282166,0.08005097782690096
맨발의 꿈,1,ok,856,1283,0.6671862821512081,0.5986397862434387,0.36665111780166626,0.5336077213287354,0.6210857033729553,0.6536292433738708,0.22101669013500214,0.017778328685806366
시,1,ok,1797,2696,0.6665430267062314,0.3397623598575592,0.2709149718284607,0.33497709035873413,0.3407658636569977,0.3471461236476898,0.16849610209465027,0.0012587596132589897
비밀애,1,ok,2000,3000,0.6666666666666666,0.20616529881954193,0.7490779757499695,0.2817806899547577,0.17625389993190765,0.1618581861257553,0.3007563650608063,0.005201083784910379
김복남 살인사건의 전말,1,ok,1000,1500,0.6666666666666666,0.2650141716003418,0.2449098527431488,0.2665199935436249,0.2645464241504669,0.2634730041027069,0.2928808033466339,0.0241721434528774
최종병기 활,1,ok,1000,1500,0.6666666666666666,0.3543626368045807,0.19318987429141998,0.33782094717025757,0.3665527105331421,0.3349798619747162,0.32727277278900146,0.023062218515429524
써니,1,ok,861,1291,0.6669248644461657,0.5707749724388123,0.2501770257949829,0.6488791108131409,0.5443007946014404,0.5022417306900024,0.24648499488830566,0.03601701974380333
완득이,1,ok,900,1290,0.6976744186046512,0.2898624539375305,0.36435967683792114,0.31844082474708557,0.2838132977485657,0.24605479836463928,0.24942898750305176,0.04218104068867709
도가니,1,ok,1000,1500,0.6666666666666666,0.39260971546173096,0.1372145265340805,0.3928990960121155,0.3949833810329437,0.379628449678421,0.20981787145137787,0.007045871559633028
퀵,1,ok,856,1283,0.6671862821512081,0.4705314338207245,0.37494194507598877,0.5388079881668091,0.44830989837646484,0.40587660670280457,0.3154822885990143,0.196392382825584
고지전,1,ok,1000,1500,0.6666666666666666,0.3351805806159973,0.20596493780612946,0.3551389276981354,0.3313048481941223,0.30279049277305603,0.2840937077999115,0.016249874895746454
블라인드,1,ok,860,1290,0.6666666666666666,0.5173505544662476,0.17948664724826813,0.550060510635376,0.5047706365585327,0.49633389711380005,0.30470985174179077,0.03457875623124986
7광구,1,ok,1000,1500,0.6666666666666666,0.2800484895706177,0.22635678946971893,0.2945426106452942,0.2754116356372833,0.2659088969230652,0.24523767828941345,0.0604256880733945
마당을 나온 암탉,1,ok,1000,1500,0.6666666666666666,0.45825496315956116,0.49702396988868713,0.378240168094635,0.5103970766067505,0.39963191747665405,0.27875491976737976,0.028281567973311092
아이들...,1,ok,764,1146,0.6666666666666666,0.4109463691711426,0.29539361596107483,0.36857151985168457,0.42866799235343933,0.4308364689350128,0.405413955450058,0.12408571340366732
평양성,1,ok,900,1289,0.6982156710628394,0.38731276988983154,0.2885449528694153,0.4152870178222656,0.37912455201148987,0.35610389709472656,0.3129918873310089,0.1170904710978507
헬로우 고스트,1,ok,900,1290,0.6976744186046512,0.3270944058895111,0.4393227696418762,0.3898795247077942,0.30610114336013794,0.27051791548728943,0.2600422203540802,0.0844379496596704
그대를 사랑합니다,1,ok,1343,1913,0.702038682697334,0.6985010504722595,0.20702245831489563,0.7196952104568481,0.6937021017074585,0.6676229238510132,0.28073790669441223,0.05351756220275432
특수본,1,ok,1750,2625,0.6666666666666666,0.30683431029319763,0.31263113021850586,0.30250710248947144,0.3111892640590668,0.29575949907302856,0.3141044080257416,0.03480579867964337
오직 그대만,1,ok,1912,2868,0.6666666666666666,0.5667170286178589,0.17206569015979767,0.5762966871261597,0.5632943511009216,0.5592148303985596,0.289278507232666,0.018387948243695846
