rank,tmdb_id,title,original_title,original_language,release_date,release_year,popularity,vote_average,vote_count,adult,video,genre_ids,genres,runtime,status,tagline,budget,revenue,homepage,imdb_id,production_companies,production_countries,spoken_languages,cast,directors,keywords,overview,poster_url,backdrop_url,kobis_movie_cd,kobis_movie_nm,kobis_open_dt,kobis_match_status,kobis_boxoffice_date,kobis_rank,kobis_audi_acc,kobis_sales_acc,kobis_daily_audi_cnt,kobis_daily_sales_amt,kobis_scrn_cnt,kobis_show_cnt,page,fetched_at
435,13970,아라한 장풍 대작전,아라한 장풍 대작전,ko,2004-04-30,2004,1.9142,6.602,133,False,False,14|28|35|53,판타지|액션|코미디|스릴러,114,Released,"""위기의 도시를 구할 기쎈 녀석이 온다!""",0,0,,tt0404777,Filmmaker R&K|Cinema Service|Sidus,KR,Korean,류승범(Sang-hwan)|윤소이(Wi-jin)|안성기(Ja-woon)|정두홍(Heuk-woon)|윤주상(Mu-woon)|안길강(Kkang Tong)|Baek Chan-Ki(Sul-Woon)|Lee Won(Sun-Dong)|이외수(Baek-Poong)|김동주(Sang-hwan's Mother),류승완,gumdo|martial arts spoof,"고층 빌딩에 아슬아슬하게 매달려 유리를 닦는 청소부, 무거운 보따리를 자유자재로 이고 다니는 할머니, 아무도 모르게 거대한 도심 속에 평화를 유지하는 도인들이 살고 있다. 한 분야에서 오랫동안 자신의 기를 갈고 닦은 생활 도인들, 보이지 않는 곳에서 이루어지는 이들의 활약이 세상을 평화롭게 이끌고 있다는데......",https://image.tmdb.org/t/p/original/m6CELNSkBCugSxEF24jaa0IDgXM.jpg,https://image.tmdb.org/t/p/original/hiNz1scA7CqDscjgbaxhwotXLrQ.jpg,,,,pending,,,,,,,,,34,2026-05-28T10:29:05.701917+00:00
436,121491,연가시,연가시,ko,2012-07-05,2012,2.062,6.6,117,False,False,53|18,스릴러|드라마,109,Released,치사율 100% 변종 연가시 감염주의보!,0,0,,tt2173024,CJ Entertainment|Ozone Film,KR,Korean,김명민(Jae-hyeok)|문정희(Kyeong-soon)|김동완(Jae-pil)|이하늬(Yeon-joo)|엄지성(Joon-woo)|강신일(Dr. Hwang)|조덕현(Tae-won)|전국환(Prime Minister)|최정우(Health Minister)|이형철(Jason Kim),Park Jung-woo,pharmaceutical industry|outbreak|disaster|epidemic|parasite|biological disaster|south korea|han river,"고요한 새벽녘 한강에 뼈와 살가죽만 남은 참혹한 몰골의 시체들이 떠오른다. 이를 비롯해 전국 방방곡곡의 하천에서 변사체들이 발견되기 시작하는데… 원인은 숙주인 인간의 뇌를 조종하여 물 속에 뛰어들도록 유도해 익사시키는 ‘변종 연가시’. 짧은 잠복기간과 치사율 100%, 4대강을 타고 급속하게 번져나가는 ‘연가시 재난’은 대한민국을 초토화시킨다. 사망자들이 기하급수적으로 늘어나게 되자 정부는 비상대책본부를 가동해 감염자 전원을 격리 수용하는 국가적인 대응태세에 돌입하지만, 이성을 잃은 감염자들은 통제를 뚫고 물가로 뛰쳐나가려고 발악한다. 한편, 일에 치여 가족들을 챙기지 못했던 제약회사 영업사원 재혁은 자신도 모르는 사이에 연가시에 감염 되어버린 아내와 아이들을 살리기 위해 치료제를 찾아 고군분투한다. 그 가운데 그는 재난사태와 관련된 심상치 않은 단서를 발견하고 사건 해결에 나서게 되는데…",https://image.tmdb.org/t/p/original/5b9zIJ4AptjotWGsjPXox01rx5u.jpg,https://image.tmdb.org/t/p/original/61O5T8LT32NMRomUusjFmABMVIn.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
437,11297,지구를 지켜라!,지구를 지켜라!,ko,2003-04-04,2003,1.802,6.985,236,False,False,35|878|80,코미디|SF|범죄,117,Released,"혹시 당신, 외계인?",3000000,0,,tt0354668,CJ Entertainment|Sidus,KR,Korean,신하균(Lee Byeong-gu)|백윤식(Kang Man-shik)|황정민(Su-ni)|이재용(Inspector Choo)|이주현(Detective Kim)|기주봉(Squad Leader Lee)|김동현(Tae-sik)|김광식(Detective Seo)|Won Woong-jae(Detective Jang)|예수정(Mother),장준환,saving the world|kidnapping|space invasion|slapstick comedy|alien|conspiracy theory|revenge|torture chamber|torture|eclipse|electrical torture|genre bending|abducted|abduction|lunar eclipse,"다가오는 개기월식에, 병구는 외계인으로 인해 지구가 곧 위험에 처할 거라고 믿는다. 병구는 외계인이라고 200% 믿어 의심치 않는 유제화학의 사장 강만식을 납치하여, 기상천외한 고문을 하며 외계인의 지구 파괴 음모를 밝히려한다. 과연 병구는 우주에서 가장 아름다운 별, 지구를 지킬 수 있을까?",https://image.tmdb.org/t/p/original/iO2asIPkgzpLNnsKG9qgkfoGmrX.jpg,https://image.tmdb.org/t/p/original/yG3USutkb9kahHacGYDYS9RQlIZ.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
438,220176,관상,관상,ko,2013-09-11,2013,2.3303,7.0,104,False,False,18|36,드라마|역사,139,Released,"조선의 운명, 이 얼굴안에 있소이다",0,0,,tt3008014,Showbox|Jupiter Film,KR,Korean,송강호(Nae-kyung)|이정재(Grand Prince Soo-yang)|백윤식(Kim Jong-seo)|조정석(Paeng-heon)|이종석(Jin-hyeong)|김혜수(Yeon-hong)|김의성(Han Myung-hoi)|채상우(Dan-jong)|김태우(King Mun-jong)|고창석(Choi Dae-gam),한재림,coup d'etat|political instability|period drama|political unrest|15th century|joseon dynasty (1392–1910)|the gyeyu rebellion,"얼굴을 보면 그 사람의 모든 것을 꿰뚫어보는 천재 관상가 내경. 처남 팽헌, 아들 진형과 산속에 칩거하고 있던 그는 관상 보는 기생 연홍의 제안으로 한양으로 향하고, 연홍의 기방에서 사람들의 관상을 봐주는 일을 하게 된다. 용한 관상쟁이로 한양 바닥에 소문이 돌던 무렵, 내경은 김종서로부터 사헌부를 도와 인재를 등용하라는 명을 받아 궁으로 들어가게 되고, 수양대군이 역모를 꾀하고 있음을 알게 된 그는 위태로운 조선의 운명을 바꾸려 하는데...",https://image.tmdb.org/t/p/original/jtq0Xul1v50s9gvEmbBFk7Tlsa1.jpg,https://image.tmdb.org/t/p/original/srQeYfvA7BEUjV3YC5VNaY90vDH.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
439,563103,도어락,도어락,ko,2018-12-05,2018,1.8347,7.399,169,False,False,53|80|9648,스릴러|범죄|미스터리,102,Released,"혼자 사는 원룸, 이곳에 누군가 숨어있다!",0,11,,tt9402676,Plus M Entertainment|Studio Pieona,KR,Korean,공효진(Jo Kyeong-min)|김예원(Oh Hyo-joo)|김성오(Detective Lee)|조복래(Kim Gi-jeong)|이가섭(Han Dong-hoon)|이천희(Kim Sung-ho)|한지은(Kang Seung-hye)|김재화(Assistant Manager Park)|김광규(Deputy Head of Department)|차엽(Detective),Lee Kwon,,"오피스텔에 혼자 살고 있는 평범한 직장인 경민. 퇴근 후 집에 돌아온 경민은 원룸의 도어락 덮개가 열려있는 것을 발견한다. 불안한 마음에 도어락 비밀번호를 변경해보지만 그날 밤, 잠들기 전 문 밖에서 들리는 소리 '삐-삐-삐-삐- 잘못 누르셨습니다'  공포감에 휩싸인 경민은 경찰에 신고를 하지만 그들은 경민의 잦은 신고를 귀찮아 할 뿐, 대수롭지 않게 여긴다. 그리고 얼마 뒤, 경민의 원룸에서 낯선 사람의 침입 흔적과 함께 의문의 살인 사건이 발생하고 자신도 안전하지 않음을 직감한 경민은 직접 사건의 실체를 쫓게 되는데...",https://image.tmdb.org/t/p/original/AbQGbP8QsUse2LuEh0zkWwU14Pq.jpg,https://image.tmdb.org/t/p/original/joVyZRCxd22LFQWFKecyxQCaoYi.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
440,571625,클로젯,클로젯,ko,2020-02-05,2020,1.855,7.2,202,False,False,27|53,공포|스릴러,97,Released,"벽장 문이 열리고, 아기가 사라졌다",0,0,,tt11727052,Perfect Storm Film|Moonlight Film|CJ Entertainment,KR,Korean,하정우(Sang-won)|김남길(Kyung-hoon)|허율(Ina)|김시아(Myung-jin)|신현빈(Seung-hee)|김수진(Myung-jin's Mother)|박성웅(Myung-jin's Father)|곽자형(PD Bang Song-guk)|강신철(Do-hyun)|박지아(Shaman),Kim Kwang-bin,closet,"아내가 불의의 사고로 세상을 떠난 뒤, 아버지 연상원과 딸 연이나는 관계가 서먹서먹해진다. 어색한 관계를 유지하던 딸과 아버지가 새로운 출발을 하기 위해 원래 살던 도심을 떠나 한적한 곳에 있는 집으로 이사간다. 그곳에서 딸이 흔적도 없이 사라지고, 딸의 실종과 관련한 비밀을 알고 있는 퇴마사가 아버지를 찾아오면서 미스터리한 일들이 벌어진다.",https://image.tmdb.org/t/p/original/dgrFMKqHfH5xQbpEyxpeea4nXys.jpg,https://image.tmdb.org/t/p/original/lkUYS8K3tqOJsYHCKSWIMbG7ptj.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
441,605680,도굴,도굴,ko,2020-11-04,2020,1.6339,7.197,38,False,False,35|12|80,코미디|모험|범죄,115,Released,땅파서 장사하는 도굴꾼들이 온다,0,0,,tt13428686,Siren Pictures,KR,Korean,이제훈(Dong-gu)|조우진(Dr. Jones)|신혜선(Se-hee)|임원희(Sabdari)|송영창(Sang-gil)|주진모(Man-gi)|이성욱(Gwang-cheol)|박세완(Hye-ri)|박진우(Squad Chief Oh)|이준혁(Antique Shop Owner),Park Jung-bae,treasure|treasure hunt|grave robber,"흙 맛만 봐도 보물을 찾아내는 타고난 천재 도굴꾼 강동구. 자칭 한국의 인디아나 존스로 불리는 고분벽화 도굴 전문가 존스 박사와 전설의 삽질 달인 삽다리를 만나 환상의 팀플레이를 자랑하며 위험천만하고도 짜릿한 도굴의 판을 키운다. 한편, 그의 재능을 알아본 고미술계 엘리트 큐레이터 윤실장은 강동구에게 매력적이면서도 위험한 거래를 제안하는데...",https://image.tmdb.org/t/p/original/sVOZNc9OibkzhdFLLMnoFpd1GVu.jpg,https://image.tmdb.org/t/p/original/bjTXgFfT3tzC0jQ9pf9d7UoHrFy.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
442,414887,마님,마님,ko,2015-08-14,2015,1.9789,5.6,8,False,False,10749|18,로맨스|드라마,76,Released,,0,0,,,Golden Tide Pictures|Contents On Media,KR,Korean,Kim Jeong-ah(Madam)|Kim Ji-hoon-VI(Bow)|동방우(Grandpa)|Amy(Jeong-ah)|금광산(Mr. Peng)|전지학(Mr. Seo),Kim Gwang-joong,eroticism|korean war (1950-53)|royal family|forbidden sexuality|joseon dynasty (1392–1910)|noble family|japanese colonial|hanyang,사별 후 홀로된 젊은 마님(김정아 분)이 재혼을 하기 위해 찾아 온 북간도. 새롭게 연을 맺은 서방님은 재력과 덕망을 모두 갖춘 자상한 남편이었지만 합방도 하기 전 일본 순사의 손에 목숨을 잃고 만다. 커다란 저택에 다시 혼자가 된 마님. 남편의 곁을 지키던 이들이 모두 떠나고 할아범과 어린 종놈 바우 만이 그녀 곁에 남아 함께 살기 시작한다. 그러던 어느 날 자신을 쳐다보는 종놈 바우의 눈길이 예사롭지 않음을 느낀 마님은 미묘한 감정에 휩싸인다. 두 번의 짧은 결혼생활과 엄격했던 신분 때문에 여자로서의 욕망을 억누른 채 살아야 했던 그녀. 한번도 여자와 사랑해 본 적 없는 어린 바우의 은밀한 눈길이 싫지 만은 않다. 두 사람은 결국 할아범의 시선을 피해 금지된 사랑을 시작하는데…,https://image.tmdb.org/t/p/original/iqJDDZp1p3x5jT8wHChqdeyemqP.jpg,https://image.tmdb.org/t/p/original/j7WBUR2A0xhyA4cW6xRcg7ZMDzW.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
443,557968,리벤져,리벤져,ko,2018-12-06,2018,2.5091,5.581,173,False,False,28|80|53,액션|범죄|스릴러,102,Released,악마를 잡기 위해 악마가 되다!,0,0,,tt9426186,Green Fish Pictures|LiTTLE BiG PiCTURES|Landmark Asia Holdings|Musa Productions,KR|ID,Korean|English|Indonesian,브루스 칸(Kim Yool)|박희순(Carlos Kuhn)|윤진서(Mali)|김인권(Bau)|Kim Na-yeon(Jin)|박철민(Lee Pa)|Jeon Soo-jin(Kaori)|최제헌(Jargal)|Ahn Gap-yong(Two Swords)|Park Seon-gyoo(Bug),Lee Seung-Won,martial arts|ex-cop|remote island|island prison|revenge plot,"극악무도한 사형수들을 격리시켜 놓은, 어떠한 법도 상식도 통하지 않는 죽음의 섬 수라도. 이곳을 지배하는 절대악 쿤을 잡기 위해 스스로 악마가 되는 길을 택해 사형수가 되어 수라도에 들어온 전직 특수경찰 율. 율은 쿤의 아지트를 찾던 중 우연히 마주친 말리와 바우로 인해 과거의 신분이 들통나게 되고 모두가 죽이고 싶어하는 살해 대상으로 지목된다. 더 이상 물러날 곳이 없는 율은 복수를 위해 목숨을 건 반격을 시작하는데...",https://image.tmdb.org/t/p/original/gCvnctGVnybiPHGEB9wjOtvU5p6.jpg,https://image.tmdb.org/t/p/original/n5LJDsjlpbfnN9h2Qk7xtdX8xNi.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
444,821661,해피 뉴 이어,해피 뉴 이어,ko,2021-12-29,2021,2.0586,7.199,158,False,False,35|10749,코미디|로맨스,137,Released,"14인 14색, 우리 모두의 로맨스",0,1906786,https://www.tving.com/contents/P001540715,tt16755970,Hive Media Corp|CJ Entertainment,KR,Korean,이동욱(Yong-jin)|원진아(Yi-young)|한지민(So-jin)|서강준(Yi-kang)|강하늘(Jae-yong)|윤아(Soo-yeon)|이혜영(Catherine)|정진영(Sang-gyu)|김영광(Seung-hyo)|이광수(Sang-hoon),곽재용,"hotel|holiday|christmas romance|seoul, south korea","15년째 고백을 망설이는 당신, 모두가 꿈꾸는 삶을 살고 있지만 외로운 당신,  정말이지 되는 일이 하나도 없는 당신,  오랜 기다림 끝에 꿈을 이룬 당신과 그 곁을 지켜준 또 다른 당신,  40년 만의 첫사랑을 만난 당신,  새로운 인연을 기다리는 당신도 호텔 엠로스에 오신 것을 환영합니다!",https://image.tmdb.org/t/p/original/f99PUPjtqMGEylIhRm0H8pv9DFy.jpg,https://image.tmdb.org/t/p/original/uWVPczYtEEusktsVLHK82Nvpgto.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
445,529569,목격자,목격자,ko,2018-08-15,2018,2.1233,6.731,104,False,False,53|80,스릴러|범죄,111,Released,"살인을 목격한 순간, 나는 놈의 다음 타겟이 되었다.  단 1초도 멈출 수 없는 추격이 시작된다!",5956440,0,,tt8865562,AD406|Next Entertainment World,KR,Korean,이성민(Sang-hoon)|김상호(Officer Jae-yeop)|진경(Soo-jin)|곽시양(Tae-ho)|Bae Jung-hwa(Seo-yeon)|신승환(Sang-tae)|정유민(Hee-won)|연제욱(Cola)|황영희(Women's Society President)|손종학(Squad Chief Choi),Cho Kyu-jang,witness|murder|serial killer|animal abuse|bystander effect,"모두가 잠든 새벽, 비명소리를 듣고 베란다에 나간 ‘상훈’은 살인사건을 목격하게 된다. 신고를 하려던 순간, 손가락을 까딱거리며  자신의 아파트 층수를 세는 범인 ‘태호’와 눈이 마주치게 되는데…",https://image.tmdb.org/t/p/original/g19rot2PyNKuldAD1IrMic1lYua.jpg,https://image.tmdb.org/t/p/original/wU57MNkOTtCvLgEfJzTUIGFdvbc.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
446,584586,0.0MHz,0.0MHz,ko,2019-05-29,2019,2.3114,5.2,47,False,False,27,공포,102,Released,가지 말라는 곳에 가야 하는 이유가 있다,0,0,,tt10341248,Smile Ent.|Monster Factory|Spotlight Pictures,KR,Korean,정원창(Tae-soo)|최윤영(Yoon-jung)|Shin Ju-hwan(Han-seok)|정은지(So-hee)|이성열(Sang-yeob)|남정희(So-hee's Grandmother)|박명신(So-hee's Mother)|김난희(Mother of Suicide Woman)|황연희(Shaman)|Kim Won-shik(Student),You Sun-dong,based on comic|based on webcomic or webtoon,세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…,https://image.tmdb.org/t/p/original/9usnHrtzl6CejBTr8JTvQtxTLAS.jpg,https://image.tmdb.org/t/p/original/aWuESNzOu1hfpBxCKR8v5kf5zwr.jpg,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
447,1251610,리얼돌의 목적,리얼돌의 목적,ko,2023-09-26,2023,1.5218,0.0,0,False,False,18,드라마,71,Released,,0,0,,,,KR,Korean,Lee Chae-dam|우열|Ji Min-iI|Kang Min-woo,김대성,,,https://image.tmdb.org/t/p/original/8NcrTwkKIFOnpXVGnHiLPhzOqf8.jpg,,,,,pending,,,,,,,,,35,2026-05-28T10:29:05.701917+00:00
448,349261,리허설,리허설,ko,1995-12-16,1995,2.0922,4.7,7,False,False,10749|18,로맨스|드라마,104,Released,,0,0,,tt0435137,Seon-ik Films,KR,Korean,최민수(Min-su)|박영선|방은희|Choe Yong-seok|손숙|이호재(Myung-gun)|윤문식|Chon Moo-song|김부선|Lee Sung-hun,Kang Jung-soo,,"은 주인공 승혜(박영선)가 공연하는 하나의 연극(지방을 순회하는 3류연극 공연)과 또 하나의 연극(라는 제목의 국립극장 공연)을 위한 리허설 동안 승혜와 민수(최민수)의 '사랑'의 리허설이 함께 진행되는 구성으로 짜여져 있다. 지방 순회공연이 끝나는 때에 주인공 두 사람은 같이 서울로 올라온다. 다음 공연 리허설이 시작되면서 두 사람의 동거가 시작되고 연극연기를 다듬어가듯 두 사람은 서로를 침범하기 시작한다. 승혜는 민수에게 연기지도를 하듯이 민수의 일상을 간섭하고, 민수는 이전과는 다른 삶의 방식을 서툴게 연습한다. 리허설이 끝나는 날 이들은 헤어진다. (임재원)",https://image.tmdb.org/t/p/original/aIEazFYH9V9jf6dZIJ2oM95nNTU.jpg,https://image.tmdb.org/t/p/original/uAE2otUeimv0rVH4Vvk1PwN0vig.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
449,570511,"힘을 내요, 미스터 리","힘을 내요, 미스터 리",ko,2019-09-11,2019,1.7567,8.0,26,False,False,18|35|10751,드라마|코미디|가족,110,Released,마른하늘에 ‘딸’벼락 맞은 철수의 좌충우돌 코미디가 시작된다!,0,0,,tt10925770,Yong Film|Dexter Studios|Next Entertainment World|Contents Panda,KR,Korean,차승원(Cheol-su)|엄채영(Saet-byeol)|박해준(Yeong-su)|김혜옥(Hee-ja)|안길강(Mr.Kim)|전혜빈(Eun-hee)|류한비(Min-jeong)|조한철(Deok-gu)|성지루(Jeong-kwon)|김법래(Mr. Yang),Lee Kae-byeok,daughter|daegu,"훤칠한 키, 잘생긴 얼굴. 부정할 수 없이 멋진 남자 철수에게는 비밀이 있다. 칼국수집에서 일하는 묘한 매력의 이 남자에게 졸지에 딸이라 불리는 아이 샛별이 나타나면서 의외의 일들이 벌어진다. 철수와 샛별의 예기치 않은 동행은 둘의 관계, 그리고 철수의 과거에 대한 미스터리를 하나둘씩 밝혀가는 여정이 된다.",https://image.tmdb.org/t/p/original/kl0HnWS6DuVX9A6RfUXo4ixBB6i.jpg,https://image.tmdb.org/t/p/original/dxac1H4BuAA9sCWGzPWZqek1AFR.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
450,387886,계춘할망,계춘할망,ko,2016-05-19,2016,1.7908,7.895,57,False,False,18,드라마,116,Released,당신에게도 있나요? 영원한 내편,0,0,,tt6135036,Content Zio|Michigan Venture Capital|Mirovision,KR,Korean,윤여정(Gye-choon)|김고은(Hye-ji)|김희원(Seok-ho)|신은정(Myeong-ok)|양익준(Choong-seop)|민호(Han-yi)|류준열(Cheol-heon)|박민지(Min-hee)|Nam Tae-boo(Choong-hee)|김대명(Fitness Trainer),Chang,elderly|jeju island|grandmother granddaughter relationship|haenyeo,"12년 만에 잃어버린 손녀를 기적적으로 찾은 해녀 계춘  손녀 혜지와 예전처럼 단둘이 제주도 집에서 함께 살면서 서로에게 적응해간다.  그러나, 아침부터 밤까지 오로지 손녀 생각만 가득한 계춘과 달리  도통 그 속을 알 수 없는 다 커버린 손녀 혜지.  어딘가 수상한 혜지에 대한 마을 사람들의 의심이 커져가는 가운데,  혜지는 서울로 미술경연대회를 갔다가 사라진다.  12년 만에 혜지가 할망을 찾아온 진짜 이유는 무엇일까?  할머니와 떨어져있던 시간 동안 혜지에게 무슨 일이 있었던 걸까?",https://image.tmdb.org/t/p/original/ydj2c36z3wpUXahm4L45y757cc3.jpg,https://image.tmdb.org/t/p/original/ehkHx2e4aYfCXHTfMFnNZTwqXc6.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
451,1316719,얼굴,얼굴,ko,2025-09-11,2025,1.7968,7.02,25,False,False,9648|53,미스터리|스릴러,102,Released,진실이 민낯을 드러냈다,0,0,,tt33514451,Wow Point,KR,Korean,박정민(Im Dong-hwan / Young Im Yeong-gyu)|권해효(Im Yeong-gyu)|신현빈(Jung Young-hee)|한지현(Kim Su-jin)|임성재(Young Baek Ju-sang)|김재록(Baek Ju-sang)|차미경(Lee Jin-suk)|주해은(Young Lee Jin-suk)|원미원(Aunt)|박명신(Aunt),연상호,based on graphic novel|depressed,"태어나서 아무것도 볼 수 없었던 시각장애인임에도 불구하고 세상에서 가장 아름다운 도장을 만드는 장인으로 거듭난 임영규와 그의 아들 임동환에게 경찰에게서 한 통의 전화가 걸려온다. 40년 전 실종된 아내이자 어머니 정영희의 백골 사체가 발견되었다는 것. 얼굴조차 몰랐던 어머니가 살해됐을 가능성도 있다는 이야기를 듣게 된 임동환은 아버지 임영규의 다큐멘터리를 촬영하던 PD 김수진과 함께 어머니의 죽음을 추적하게 된다. 그리고 그 과정에서 만난, 40년 전 어머니와 함께 청계천 의류 공장에서 일했던 이들의 기억을 통해 가려진 진실을 마주하게 되는데……",https://image.tmdb.org/t/p/original/gKxhGFwbaMq9LMnKJrsuZGodULk.jpg,https://image.tmdb.org/t/p/original/wduUhYLGaYSD2mSu7YHd09l1N6j.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
452,5252,밀애,밀애,ko,2002-11-07,2002,1.7961,4.906,16,False,False,18|53,드라마|스릴러,112,Released,가까이 더 가까이,0,0,,tt0341470,CJ Entertainment|Fun and Happiness Film|Cinema Service,KR,Korean,김윤진(Mi-heun)|이종원(In-gyu)|Kye Seong-yong(Hyo-kyung)|Kim Min-kyeong(Young-woo)|손지나(Eun-yeon)|Kim Min-chae(Ye-seon)|하승리(Su-jin)|Hong Se-na(Yi-sook)|김정태(Dong-wook)|손병호(Eun-yeon's Husband),변영주,loss of loved one|forbidden love|domestic violence|doctor|relationship|divorce|extramarital affair|woman director,"서른의 전업주부 미흔의 집에 찾아온 빨간 스웨터의 여자. 그녀가 입을 열어 미흔의 남편을 '오빠'라 부르기 시작했다. 그것은 단 몇마디로 미흔의 삶을 송두리째 빼앗는, 크리스마스 오후의 끔찍한 테러였다. 고요한 나비마을의 평화로움에 도취되어 미흔 가족은 마치 아무일이 없었던 것처럼 살고 있다. 그날밤 이후 원인을 알수 없는 두통에 시달리고 있던 미흔은, 아주 고통스럽게 자신의 아픔을 내쏟는다. 그렇지만 변한 것은 아무것도 없어 보인다. 그러다 인규를 만난다. 그는 근처 호숫가에서 낚시를 즐기고, 나머지 시간엔 물고기를 낚듯 여자를 만나 섹스를 즐기는 한적한 시골병원 의사이다. 뜨거운 햇빛이 내비치는 휴게소에 멍하니 앉아있던 미흔에게 날카로운 경적소리처럼 그를 일깨우는 낯선 목소리의 인규. 미흔은 온몸으로 그를 거부하지만, 동시에 온몸으로 그에게 빠져들고 있다. 삶이 무너졌다고 생각한 인생의 끝자락에서, 섹스는 하되, 절대로 사랑해서는 안되는 위험한 게임에 빠진 미흔. 그녀는 자신도 모르게 이 게임을 탐닉하고 있다",https://image.tmdb.org/t/p/original/3OXOTR1MvCkcedcAbvY6yDxv7HY.jpg,https://image.tmdb.org/t/p/original/gMandTwVo5v3coxi0zHgg1KZVCk.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
453,137798,썸머타임,썸머타임,ko,2001-05-26,2001,2.0469,5.176,17,False,False,18,드라마,103,Released,,0,0,,tt0297414,Barunson E&A|Sidus|Cinema Service,KR,Korean,김지현(Hie-ran)|류수영(Sang-ho)|최철호(Tae-yeol)|Jang Seong-won|송옥숙(Gi-ok)|윤영걸,박재호,,"80년대, 전두환 대통령이 집권하던 당시 운동권 학생으로 수배중인 상호가 어느 시골 마을에 숨어든다. 허름한 목조 건물 2층에 세들어 살게 된 상호는 어느날 바닥에 난 구멍을 발견한다. 무심히 그 구멍을 들여다본 상호는 아래층 여자 희란과 남편의 정사를 엿보게 된다. 희란은 남편이 출근하면서 문을 잠가버리기 때문에 방안에 갇혀 사는 여자다. 어느날 상호는 남편이 흘린 열쇠로 문을 열고 들어간다. 남편과 희란의 정사과정을 늘 지켜보던 상호는 남편이 하던 대로 희란을 애무하기 시작하고 희란은 습관처럼 받아들인다. 다시 희란을 찾아간 상호는 이번엔 다르게 애무해 희란에게 들키지만 희란은 그를 받아들인다. 그 후 그들은 남편이 없는 틈을 타 둘만의 정사를 즐기는데...",https://image.tmdb.org/t/p/original/njWr4h7koI7LRGtggWxCSJf3S49.jpg,https://image.tmdb.org/t/p/original/3kX4qsxYsmJ57MipvCB43iurbgi.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
454,140380,26년,26년,ko,2012-11-29,2012,1.5036,6.8,74,False,False,18|53,드라마|스릴러,135,Released,"26년의 기다림, 복수는 시작되었다!",4330000,0,,tt2551894,Chungeorahm Film|Invent Stone,KR,Korean,진구(Gwak Jin-bae)|한혜진(Shim Mi-jin)|임슬옹(Gwon Jeong-hyeok)|배수빈(Kim Ju-an)|이경영(Kim Gap-se)|장광(The man)|이미도(Jin-bae's Mother)|조덕제(Ma Sang-yeol)|김의성(Mr. Choi)|김도윤(Police Officer in Plain Clothes),Cho Keun-hyun,based on comic|revenge|gwangju uprising|gwangju|korea president|based on webcomic or webtoon|chun doo-hwan,"광주 수호파 중간보스 곽진배, 국가대표 사격선수 심미진, 서대문소속 경찰 권정혁, 5. 18 민주화운동 희생자 2세라는 공통 분모를 가진 세 사람이 한 자리에 모였다. 그들을 불러 모은 보안업체 대기업 회장 김갑세와 그의 비서 김주안의 제안은 바로 ‘그 사람’을 타겟으로 한 극비 프로젝트. 진배는 무력도발로 연희동을 자극시킨다. 그러나 김갑세가 광주 시민들을 제압하던 계엄군이었고 그의 총검에 아버지가 죽었다는 사실을 알게 되면서 팀은 균열이 생긴다. 미진은 홀로 서대문 사거리에서 ‘그 사람’의 차량에 뛰어들어 사격을 가한다. 마지막 한발, 성공의 순간 터져버린 총 때문에 부상당한 미진은 뒤늦게 달려온 진배의 도움으로 탈출하지만, 정혁은 충격을 받고 사라진다. 마침내 그날, 저격 위치를 확보한 미진과 경찰 병력을 저지할 진배 일행, 그리고 김갑세와 주안은 탁실장을 이용하여 검문을 통과하고 드디어 연희동 저택 안으로 들어간다. 한편, 서대문경찰서 최계장의 집요한 추적으로 암살 작전의 실체가 밝혀지고 경호실장인 마상렬의 명령으로 연희동 안팎은 빠르게 진압된다. 미진에게까지 포위망은 좁혀지고 사라졌던 정혁이 나타나 작전을 저지하는데...",https://image.tmdb.org/t/p/original/ljo7aXcGIdYZm90MppokHKreYTT.jpg,https://image.tmdb.org/t/p/original/4qdfX82o7wh61zkZi3vdvBXoi9h.jpg,,,,pending,,,,,,,,,36,2026-05-28T10:29:05.701917+00:00
